Rank,Company,Category,LinkedIn,Careers
67,Fireblocks,Digital Assets Infrastructure,https://www.linkedin.com/company/fireblocks/,https://www.fireblocks.com/careers/
68,Chainalysis,Blockchain / Compliance,https://www.linkedin.com/company/chainalysis/,https://www.chainalysis.com/careers/
69,Coinbase,Crypto / Financial Platform,https://www.linkedin.com/company/coinbase/,https://www.coinbase.com/careers/
70,Kraken,Crypto / Financial Platform,https://www.linkedin.com/company/kraken.com/,https://www.kraken.com/careers
71,Gemini,Crypto / Financial Services,https://www.linkedin.com/company/gemini/,https://www.gemini.com/careers
72,Robinhood,Investing / Trading,https://www.linkedin.com/company/robinhood/,https://careers.robinhood.com/
73,SoFi,Digital Financial Services,https://www.linkedin.com/company/sofi/,https://www.sofi.com/careers/
74,Chime,Neobank,https://www.linkedin.com/company/chime/,https://careers.chime.com/
75,Nubank,Digital Banking,https://www.linkedin.com/company/nubank/,https://international.nubank.com.br/careers/
76,Klarna,Payments / BNPL,https://www.linkedin.com/company/klarna/,https://www.klarna.com/careers/
77,Affirm,BNPL / Consumer Finance,https://www.linkedin.com/company/affirm-inc/,https://www.affirm.com/careers
78,Brex,Corporate Fintech,https://www.linkedin.com/company/brexhq/,https://www.brex.com/careers
79,Ramp,Corporate Fintech,https://www.linkedin.com/company/ramp-business/,https://ramp.com/careers
80,Mercury,Business Banking,https://www.linkedin.com/company/mercury/,https://mercury.com/careers
81,Carta,Equity / Financial Infrastructure,https://www.linkedin.com/company/carta/,https://carta.com/careers/
82,Toast,Payments / Restaurant Fintech,https://www.linkedin.com/company/toast-inc/,https://careers.toasttab.com/
83,BILL,AP / AR / Payments,https://www.linkedin.com/company/bill-com/,https://www.bill.com/careers/
84,Intuit,Financial Software,https://www.linkedin.com/company/intuit/,https://www.intuit.com/careers/
85,Xero,Accounting / Fintech SaaS,https://www.linkedin.com/company/xero/,https://www.xero.com/about/careers/
86,Mambu,Banking SaaS,https://www.linkedin.com/company/mambu/,https://www.mambu.com/careers/
87,Temenos,Banking Technology,https://www.linkedin.com/company/temenos/,https://www.temenos.com/careers/
88,Thought Machine,Core Banking,https://www.linkedin.com/company/thought-machine/,https://www.thoughtmachine.net/careers/
89,Solaris,Embedded Banking,https://www.linkedin.com/company/solarisbank/,https://www.solarisgroup.com/careers/
90,Qonto,Business Banking,https://www.linkedin.com/company/qonto/,https://qonto.com/en/careers
91,Zopa,Digital Banking / Lending,https://www.linkedin.com/company/zopa/,https://www.zopa.com/careers
92,Monzo,Digital Banking,https://www.linkedin.com/company/monzo-bank/,https://monzo.com/careers/
93,Starling Bank,Digital Banking,https://www.linkedin.com/company/starling-bank/,https://www.starlingbank.com/careers/
94,N26,Digital Banking,https://www.linkedin.com/company/n26/,https://n26.com/en-eu/careers
95,Remitly,Remittance / Payments,https://www.linkedin.com/company/remitly/,https://careers.remitly.com/
96,Flywire,Payments,https://www.linkedin.com/company/flywire/,https://www.flywire.com/company/careers
97,Fiserv,Payments / Financial Technology,https://www.linkedin.com/company/fiserv/,https://www.fiserv.com/en/careers.html
98,FIS,Financial Technology,https://www.linkedin.com/company/fis/,https://www.fisglobal.com/en/careers
99,Visa,Payments Network,https://www.linkedin.com/company/visa/,https://corporate.visa.com/en/jobs.html
100,Mastercard,Payments Network,https://www.linkedin.com/company/mastercard/,https://careers.mastercard.com/
