No,Company,Sector,LinkedIn_URL,Official_Careers_URL
84,Booking.com,Travel Tech,https://www.linkedin.com/company/booking.com/,https://careers.booking.com/
85,Delhivery,Logistics Tech,https://www.linkedin.com/company/delhivery/,https://www.delhivery.com/careers/
86,Porter,Logistics Tech,https://www.linkedin.com/company/porter-in/,https://www.porter.in/careers
87,Shiprocket,Logistics Tech,https://www.linkedin.com/company/shiprocket/,https://www.shiprocket.in/careers/
88,Ericsson,Telecom,https://www.linkedin.com/company/ericsson/,https://www.ericsson.com/en/careers
89,Nokia,Telecom,https://www.linkedin.com/company/nokia/,https://www.nokia.com/about-us/careers/
90,Qualcomm,Semiconductors,https://www.linkedin.com/company/qualcomm/,https://www.qualcomm.com/company/careers
91,Samsung Electronics,Technology / Electronics,https://www.linkedin.com/company/samsung-electronics/,https://www.samsung.com/us/careers/
92,Intel,Semiconductors,https://www.linkedin.com/company/intel-corporation/,https://jobs.intel.com/
93,Electronic Arts,Gaming,https://www.linkedin.com/company/electronic-arts/,https://www.ea.com/careers
94,Ubisoft,Gaming,https://www.linkedin.com/company/ubisoft/,https://www.ubisoft.com/en-us/company/careers
95,Sony,Technology / Entertainment,https://www.linkedin.com/company/sony/,https://www.sony.com/en/SonyInfo/Careers/
96,Spotify,Media Technology,https://www.linkedin.com/company/spotify/,https://www.lifeatspotify.com/jobs
97,Disney,Media Technology,https://www.linkedin.com/company/the-walt-disney-company/,https://jobs.disneycareers.com/
